job_title,company_Name,job_url,job_Location,job_Summery,job_posted_Date,job_Salary
,Deloitte,https://www.indeed.com/cmp/Deloitte,"Grand Rapids, MI 49503 (Heartside area)+12 locations","Create, implement, and the development of scripts to automate everyday operations.",PostedToday,Estimated $100K – $127K a year
,MKB Holdings,"https://www.indeed.com/q-Mkb-Holdings-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49504 (Westside Connection area)",Must have a proven track record designing and developing enterprise scalable systems (multi-tenant web-based) using C# - .,Posted7 days ago,Estimated $63.6K – $80.6K a year
,L3Harris Technologies,https://www.indeed.com/cmp/L3harris,"Grand Rapids, MI","L3Harris Aviation Products manufactures a diverse line of safety- and efficiency-enhancing products that set the standard for next-generation requirements,…",Posted3 days ago,
,KPMG,https://www.indeed.com/cmp/Kpmg-0828bc85,"Grand Rapids, MI+2 locations",Understand the application and platform development goals and design effective solutions.,Posted7 days ago,Estimated $114K – $144K a year
Front End Web Developer,Cull Group Marketing & Design,"https://www.indeed.com/q-Cull-Group-Marketing-&-Design-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49506",At least 2 years of web development experience.,Posted30+ days ago,Estimated $47K – $59.6K a year
iOS Developer,Deloitte,https://www.indeed.com/cmp/Deloitte,"Grand Rapids, MI 49503 (Heartside area)","As an experienced iOS Developer, you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of…",Posted30+ days ago,
Software System Integration Engineer,Dematic,https://www.indeed.com/cmp/Dematic,"Grand Rapids, MI+1 location",Through the office and on-site project development phases you will get to combine the theoretical part of the QA process with the practical one.,Posted30+ days ago,Estimated $94.2K – $119K a year
Software Product Engineer,Magna International Inc.,https://www.indeed.com/cmp/Magna-International-Inc,"Kentwood, MI 49512","Combining a deep systems knowledge to develop unique vehicle access experiences, intelligent visions systems and advanced automotive lighting technologies, MML…",Posted30+ days ago,Estimated $91.3K – $116K a year
,L3Harris Technologies,https://www.indeed.com/cmp/L3harris,"Grand Rapids, MI",Job Title: Hardware/Software Test Design Engineer.,Posted3 days ago,
,Recruiting From Scratch,https://www.indeed.com/addlLoc/redirect?tk=1fr2s924vsa6h800&jk=22c6972356541f0e&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252Fi0so2qhAdCglub3JtdGl0bGUaEGVuZ2luZWVyaW5nIGxlYWQ%253D,"Remote in Kentwood, MI+1 location",Who is Recruiting from Scratch:,Posted1 day ago,Estimated $119K – $151K a year
,KPMG,https://www.indeed.com/cmp/Kpmg-0828bc85,"Grand Rapids, MI+2 locations",We are The Lighthouse within KPMG's Consulting practice.,Posted7 days ago,Estimated $114K – $144K a year
Front End Web Developer,Cull Group Marketing & Design,"https://www.indeed.com/q-Cull-Group-Marketing-&-Design-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49506","Cull Group is looking for a well-rounded web developer who is driven to learn, accept challenges, and craft effective solutions as part of our talented creative…",Posted30+ days ago,Estimated $47K – $59.6K a year
iOS Developer,Deloitte,https://www.indeed.com/cmp/Deloitte,"Grand Rapids, MI 49503 (Heartside area)","Are you an experienced, passionate pioneer in technology?",Posted30+ days ago,
Software System Integration Engineer,Dematic,https://www.indeed.com/cmp/Dematic,"Grand Rapids, MI","This is an exciting opportunity to join the team in our beautiful office in Atlanta, GA.",Posted30+ days ago,Estimated $94.2K – $119K a year
Software Product Engineer,Magna International Inc.,https://www.indeed.com/cmp/Magna-International-Inc,"Kentwood, MI 49512","The Mechatronics, Mirrors and Lighting group specializes in automotive technologies that are driving the future of mobility.",Posted30+ days ago,Estimated $91.3K – $116K a year
,MKB Holdings,"https://www.indeed.com/q-Mkb-Holdings-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49504 (Westside Connection area)","Dealership Advantage is a cloud-based, integrated dealership and OEM management platform currently serving the marine market.",Posted2 days ago,Estimated $88.3K – $112K a year
,JR Automation,https://www.indeed.com/cmp/Jr-Automation,"Holland, MI 49424","As an IT Manager for Applications Development, you will be responsible for overseeing the development and implementation of custom software applications.",Posted1 day ago,
Senior Front End Developer,RaiseRight,"https://www.indeed.com/q-Raiseright-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49508","As a Senior Front End Engineer, you will play a critical role on RaiseRight's Technology team.",Posted30+ days ago,Estimated $96.8K – $123K a year
Controls/Software Engineer,Dematic,https://www.indeed.com/cmp/Dematic,"Grand Rapids, MI","The job candidate will demonstrate, validate and test all software and controls components of the Tech Center and serve as the liaison to the various product…",Posted30+ days ago,Estimated $91.6K – $116K a year
"Engineer II, Software - - (Remote/Nationwide)",BDO,https://www.indeed.com/cmp/Bdo,"Remote in Grand Rapids, MI+1 location",BDO’s Core Purpose is Helping People Thrive Every Day.,Posted10 days ago,Estimated $103K – $130K a year
APPLICATION DEVELOPER,Ascent Brands,"https://www.indeed.com/q-Ascent-Brands-l-Caledonia,-MI-jobs.html","Caledonia, MI 49316",Ascent Brands is a direct-mail catalog supplier of unique and hard-to-find items for laboratory and healthcare professionals.,Posted30+ days ago,Estimated $53.3K – $67.5K a year
Web Designer / Front End Developer,"UFP Industries, Inc.","https://www.indeed.com/cmp/Ufp-Industries,-Inc.","Grand Rapids, MI 49525",The Web Designer will work with the Web Development team on all changes and projects relative to web design.,Posted30+ days ago,
Junior Software Developer,Revature,https://www.indeed.com/cmp/Revature-8,"Wyoming, MI+1 location",Revature is the fastest growing employer of emerging technology talent in the US.,Posted30+ days ago,Estimated $61.8K – $78.2K a year
CET Software Developer,KION Group AG,https://www.indeed.com/addlLoc/redirect?tk=1fr2s92u0s7ha801&jk=197156263b4c7a07&dest=%2Fjobs%3Fq%3Dprogrammer%26l%3Dgrand%2Brapids%2BMI%26grpKey%3D8gcGdG5mdGNsuA%252Bq4cQVqhAeCglub3JtdGl0bGUaEXNvZnR3YXJlIGVuZ2luZWVy,"Grand Rapids, MI+1 location",The qualified individual will be responsible for software development of the Dematic extension used in the Configura CET Designer application.,Posted30+ days ago,
Senior Controls Software Engineer,Dematic,https://www.indeed.com/cmp/Dematic,"Grand Rapids, MI","In this role you will drive the implementation of proof of concepts for our system architecture, AI, and HMI initiatives, which will support various solutions,…",Posted30+ days ago,
Java Developer,nFolks Data Solutions,"https://www.indeed.com/q-Nfolks-Data-Solutions-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI",Bachelor's or Master's Degree in Computer Science or Information Systems.,Posted30+ days ago,
Senior Backend Engineer,WedgeHR,"https://www.indeed.com/q-Wedgehr-l-Grand-Rapids,-MI-jobs.html","Grand Rapids, MI 49503 (Heritage Hill area)",Candidates record a one-way interview on their time and recruiters review it on theirs.,Posted30+ days ago,
Junior Software Developer,Revature,https://www.indeed.com/cmp/Revature-8,"Wyoming, MI+1 location",College degree (Associates or Bachelors).,Posted30+ days ago,
